brewery,just_a_bar,brewery_id,loc_num,street,city,zipcode,phone_number,latitude ,longitude,serves_food,beer_types,happy_hour,capacity,wine,liquor,price,reservations,dogs,public_transport,outdoor,gluten_free,hour_m,hour_tu,hour_wed,hour_th,hour_fr,hour_sat,hour_sun,website,instagram
Fort Point Beer Company,0,1,1,1 The Embarcadero #54,San Francisco,94105,(415) 818-3993,37.795782,-122.393321,1,"IPA, Double IPA, Rye Pale Ale, Red Ale, Barrel-aged Ale, Wheat Beer, Kolsch, Pilsner, Porter, Saison",,,,,$$,,,,,,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,10:00-20:00,11:00-18:00,http://www.fortpointbeer.com/,@fortpointbeer
Rogue Ales Public House,0,2,1,673 Union St,San Francisco,94133,(415) 362-7880,37.8000726,-122.4127612,1,"IPA, Double IPA, West Coast IPA, Amber Ale, Barrel-aged Ale, Brown Ale, Pale Ale, Stout, Imperial Stout, Imperial Pilsner, Barleywine, Kolsch, Porter",,,,,$$,0,,,,,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,12:00-26:00,12:00-26:00,9:30-23:00,http://www.rogue.com/roguemeetinghalls/,@rogueales
Almanac Taproom,0,3,1,2704 24th St,San Francisco,94110,(415) 932-6531,37.7531102,-122.4089225,1,"IPA, Double IPA, Red Ale, Pale Ale, Porter, Stout, Wild Ale, Berliner Weissbier, Steam Beer, Barleywine, Pilsner, Gose, Saison",,,,,$$,0,,,1,,-1,-1,15:00-19:00,15:00-19:00,15:00-19:00,10:00-19:00,10:00-19:00,https://www.almanacbeer.com/taproom/,@almanacbeer
Cellarmaker,0,4,1,1150 Howard St,San Francisco,94103,(415) 863-3940,37.7772358,-122.4129874,1,"IPA, Pale Ale, Blonde Ale, Brown Ale, Smoked Porter, Baltic Porter, Barrel-Aged Stout, Imperial Stout, American Bitter",,,,,$$,,,,0,,-1,15:00-23:00,15:00-23:00,15:00-23:00,12:00-23:00,12:00-23:00,13:00-20:00,https://www.cellarmakerbrewing.com/,@cellarmakerbrewing
Fieldwork,0,5,5,1160 Sixth Street,Berkeley,94710,(510) 898-1203,37.7747768,-122.4037033,1,"IPA, Double IPA, Rye IPA, West Coast IPA, Pale Ale, Belgain Golden Ale, Brown Ale, Blonde Ale, Cream Ale, Sour Ale, Scotch Ale, Red Ale, Dry Hopped Lager, Imperial Stout, American Stout, Barrel Aged Stout, Porter, Saison, Light Lager, Gose, Hoppy Pilsner, Brown",,,,,$$,,,,0,,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-23:00,11:00-23:00,11:00-22:00,https://fieldworkbrewing.com/,@fieldworkbrewingco
ThirstyBear,0,6,1,661 Howard St,San Francisco,94105,(415) 974-0905,37.7854861,-122.4017878,1,"IPA, Pale Ale, Golden Ale, Wheat Beer, Porter, American Lager, American Sour, Altbier",,,,,$$,1,,,0,,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-23:00,11:30-23:00,12:00-22:00,http://thirstybear.com/,@thirstybearbrew
21st Amendment Brewery,0,7,1,563 2nd St,San Francisco,94107,(415) 369-0900,37.7825407,-122.3946493,1,"IPA, Double IPA, Black IPA, Session Ale, Stout, Wheat Beer",,,,,$$,,,,1,,11:30-24:00,11:30-24:00,11:30-24:00,11:30-24:00,11:30-24:00,11:30-24:00,10:00-24:00,http://21st-amendment.com/,@21stAmendment
Bartlett Hall,1,8,1,242 O'Farrell St,San Francisco,94102,(415) 433-4332,37.7864995,-122.4109398,1,"Blonde Ale, Hefeweizen, Saison, Irish Stout, Brown Shugga",,,,,$$,1,,,0,,11:30-25:30,11:30-25:30,11:30-25:30,11:30-25:30,11:30-25:30,10:30-25:30,10:30-25:30,http://bartletthall.com/,@bartletthallsf
The Beach Chalet,0,9,1,1000 Great Hwy,San Francisco,94121,(415) 386-8439,37.7694685,-122.5122851,1,"IPA, Blonde Ale, Wheat Beer, Pale Ale, Red Ale, Stout, Root Beer",,,,,$$,1,,,,,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,10:00-22:30,10:00-22:30,https://www.beachchalet.com/#coastal-seafood-brewery,NA
Black Sands,0,10,1,701 Haight St,San Francisco,94117,(415) 534-5194,37.7714592,-122.4360437,1,"IPA, Red IPA, Belgian Saison, Saison, Kolsch",,,,,$$,0,,,,,-1,08:00-24:00,08:00-24:00,08:00-24:00,08:00-25:00,08:00-25:00,08:00-24:00,http://www.blacksandsbeer.com/,@blacksandsbeer
Harmonic Brewing,0,11,1,1050 26th St,San Francisco,94107,(415) 872-6817,37.7516262,-122.3922577,0,"IPA, White Ale, Axe Pale, Rye Pale, Brow Ale, Stout, Kolsch",,,,,$$,1,1,,,,-1,16:00-20:00,15:00-22:00,15:00-23:00,14:00-23:00,12:00-23:00,13:00-19:00,http://harmonicbrewing.com/,@harmonicbrewing
Laughing Monk Brewing,0,12,1,1439 Egbert Ave,San Francisco,94124,(415) 890-5970,37.7227836,-122.3958504,0,"IPA, Double IPA, Pale Ale, Golden Ale, Pale Ale, Stout, Pilsner, Gose, Belgian Tripel, Belgian Dubbel, Belgian Witbier",0,,,,$$,0,1,,0,,-1,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,12:00-22:00,12:00-20:00,http://www.laughingmonkbrewing.com/,@laughingmonksf
Ferment.Drink.Repeat,0,13,1,2636 San Bruno Ave.,San Francisco,94134,(415) 825-5657,37.7282668,-122.406356,0,"IPA, Blonde Ale, Belgian Tripel, Saison, Stout, Smoked Porter, Kombucha Shandy, Belgian Witbier, Pilsner",1,,,,$,1,1,,0,,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,15:00-23:00,15:00-23:00,12:00-21:00,https://www.fermentdrinkrepeat.com/,@fermentdrinkrepeat
Anchor Brewing,0,14,1,1705 Mariposa St,San Francisco,94107,(415) 863-8350,37.7632437,-122.4031711,0,"IPA, Barleywine, Pale Larger, Porter, Wheat Beer",,,,,$$,,,,,,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,https://www.anchorbrewing.com/,@anchorbrewing
Barebottle Brewing,0,15,1,1525 Cortland Ave,San Francisco,94110,(415) 926-8617,37.7401171,-122.4112237,1,"IPA, Double IPA, West Coast IPA, Session Ale, Brown Ale, Golden Ale, Pale Ale, Dark Ale, Stout, Saison, Kolsch",,,,,$$,,1,,,,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,12:00-23:00,11:00-23:00,11:00-21:00,http://www.barebottle.com/,@barebottle
Barrel Head Brewhouse,0,17,1,1785 Fulton Street,San Francisco,94117,(415) 416-6989,37.775697,-122.446112,1,"IPA, Belgian Tripel, Kolsch, Oktoberfest, Baltic Porter, Saison, Bock",1,,,,$$,1,0,,0,,16:30-24:00,16:30-24:00,16:30-24:00,16:30-25:00,12:00-25:00,12:00-25:00,10:00-24:00,http://www.barrelheadsf.com,@barrelheadsf
Black Hammer Brewing,0,18,1,544 Bryant Street,San Francisco,94107,(415) 758-2223,37.780693,-122.397044,0,"IPA, Pale Ale, Blonde Ale, Stout, Saison, Belgian Witbier, Kolsch, Bock",1,,,,$$,1,1,,,,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-24:00,12:00-24:00,14:00-22:00,https://blackhammerbrewing.com,@blackhammerbrewing
Smuggler's Cove,1,19,1,650 Gough St,San Francisco,94102,(415) 869-1900,37.779432,-122.4255637,0,,1,,,,,0,0,1,0,,17:00-25:15,17:00-25:15,17:00-25:15,17:00-25:15,17:00-25:15,17:00-25:15,17:00-25:15,http://www.smugglerscovesf.com,@smugglerscovesf
